,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
384,14949,0849029,0535 0531 PAGE                ST0000,"(37.7728934706719, -122.429521618166)",0849029,1
385,15008,0710C043,0000 1465 LAGUNA                0001,"(37.7842359166421, -122.428680459592)",0710C043,1
386,15018,5894002,0499 0497 SILVER              AV0000,"(37.7288715794999, -122.42611224177)",5894002,1
387,15032,4172028,1135 1133 TENNESSEE           ST0000,"(37.7572329376361, -122.388875593137)",4172028,1
388,15087,1080025,2457 2455 POST                ST0000,"(37.7837592732131, -122.442231549656)",1080025,1
389,15168,0052015,0000 0594 CHESTNUT            ST0000,"(37.8039635332267, -122.41309988866)",0052015,1
390,15203,1158015,1844 1840 MCALLISTER          ST0000,"(37.7775400300536, -122.442619132322)",1158015,1
391,15213,3785166,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785166,1
392,15276,1090018,0000 0160 BLAKE               ST0000,"(37.7811424987572, -122.450633566204)",1090018,1
393,15369,6549055,0000 1205 SANCHEZ             ST0000,"(37.7498019091648, -122.429199699283)",6549055,1
394,15394,0710C057,0000 0045 LOTTIE BEN            0003,"(37.7842359166421, -122.428680459592)",0710C057,1
395,15398,3785168,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785168,1
396,15403,7116001,0195 0193 BRIGHT              ST0000,"(37.7141493122776, -122.463732472492)",7116001,1
397,15406,1681006F,0000 6220 FULTON              ST0000,"(37.7721661387903, -122.498579329763)",1681006F,1
398,15421,0711C024,0000 0065 CLEARY              CT0012,"(37.7835963351412, -122.42679775829)",0711C024,1
399,15454,0710C042,0000 1455 LAGUNA                0006,"(37.7842359166421, -122.428680459592)",0710C042,1
400,15455,0710C002,0000 0010 BERTIE MINOR          0002,"(37.7842359166421, -122.428680459592)",0710C002,1
401,15485,0710C039,0000 1455 LAGUNA                0003,"(37.7842359166421, -122.428680459592)",0710C039,1
402,15513,0710C092,0000 0055 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C092,1
403,15595,0710C089,0000 0045 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C089,1
404,15618,5713028,3605 3601 MISSION             ST0000,"(37.7386294653089, -122.423679985546)",5713028,1
405,15626,1788036,3217 3215 IRVING              ST0000,"(37.7626720689468, -122.492475452389)",1788036,1
406,15723,1157010,0000 0736 BAKER               ST0000,"(37.777920491027, -122.441400156195)",1157010,1
407,15769,3596087,0000 0276 LEXINGTON           ST0000,"(37.7589587905736, -122.420755495244)",3596087,1
408,15794,3548062,1328 1326 NATOMA              ST0000,"(37.7678689003129, -122.418708443291)",3548062,1
409,15857,2656054,0167 0165 CORBETT             AV0000,"(37.7614979859089, -122.441937167492)",2656054,1
410,15907,3540036,0171 0169 CASTRO              ST0000,"(37.766250452509, -122.43524001956)",3540036,1
411,15943,1160018,2086 2080 MCALLISTER          ST0000,"(37.777015186384, -122.446337145361)",1160018,1
412,15953,0711C003,0000 0045 CLEARY              CT0003,"(37.7835963351412, -122.42679775829)",0711C003,1
413,15989,3612011,2914 2912 21ST                ST0000,"(37.7576294901726, -122.412772180811)",3612011,1
414,15991,0558017,0000 2368 VALLEJO             ST0000,"(37.795352346499, -122.436365981623)",0558017,1
415,16004,0710C019,0000 1555 GEARY BLVD            0001,"(37.7842359166421, -122.428680459592)",0710C019,1
416,16048,3785146,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785146,1
417,16092,4712008,0000 0050 HUDSON              AV0000,"(37.7339498994239, -122.381712377061)",4712008,5
418,16119,3614006,2548 2546 FOLSOM              ST0000,"(37.7565070152656, -122.414812113472)",3614006,1
419,16121,0829003,0531 0529 BUCHANAN            ST0000,"(37.7749125695831, -122.427857346653)",0829003,1
420,16149,3785183,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785183,1
421,16158,1891049,0000 4127 KIRKHAM             ST0000,"(37.7583367482976, -122.505243485586)",1891049,1
422,16172,3601015,0000 4020 20TH                ST0000,"(37.7581625849536, -122.430882124494)",3601015,1
